unique_id,soil_ph,soil_organic_carbon_gkg,soil_nitrogen_gkg,soil_clay_pct,soil_sand_pct,soil_cec_cmolkg,soil_bulk_density_gcm3
000280ca,5.7,8.025013499434122,0.8039884153978569,27.0,54.0,8.025013499434122,1.35
000a7b5e,5.4,13.879731724872835,1.45960311115695,43.0,34.0,11.182493960703471,1.27
000fa7dc,5.8,19.085536923187668,1.7731947639642978,42.0,39.0,13.879731724872835,1.13
00203dd4,5.7,15.444646771097048,1.3631606937057947,36.0,36.0,11.182493960703471,1.27
0023f6b6,5.7,17.17414536944306,1.45960311115695,44.0,33.0,8.974182454814718,1.15
0025385a,5.6,13.879731724872835,1.225540928492468,42.0,31.0,10.0231763806416,1.28
0034821f,5.5,12.463738035001692,1.1170000166126748,34.0,49.0,11.182493960703471,1.22
007ec853,6.0,15.444646771097048,1.4351296512898744,38.0,36.0,13.879731724872835,1.23
007ee648,5.4,15.444646771097048,1.2704998375324057,41.0,33.0,12.463738035001692,1.2
00a72bd4,5.6,12.463738035001692,1.1170000166126748,42.0,33.0,8.974182454814718,1.28
00aad35e,5.6,21.19795128144164,2.4212295362896734,43.0,31.0,13.879731724872835,1.2
00b552f1,6.0,11.182493960703471,1.181472265498201,35.0,50.0,11.182493960703471,1.22
00bafe90,5.6,8.025013499434122,0.8589280418463421,27.0,54.0,6.38905609893065,1.31
00c30dc6,5.9,17.17414536944306,1.509290389936298,40.0,38.0,11.182493960703471,1.21
00cc5b99,6.0,10.0231763806416,0.9738777322304476,40.0,42.0,8.025013499434122,1.37
00d62107,5.4,11.182493960703471,1.0544332106438876,40.0,36.0,8.974182454814718,1.33
00e1587d,5.6,13.879731724872835,1.2479079866764715,39.0,33.0,12.463738035001692,1.2
00ebba7a,5.4,12.463738035001692,1.0959355144943643,42.0,33.0,7.166169912567652,1.17
01189b9d,5.5,15.444646771097048,1.6116964734231178,41.0,40.0,12.463738035001692,1.21
011a38b8,5.6,15.444646771097048,1.5599814183292713,44.0,31.0,12.463738035001692,1.22
012e1161,5.8,13.879731724872835,1.1170000166126748,31.0,43.0,11.182493960703471,1.29
012e9a7e,5.8,11.182493960703471,1.0339912586467506,46.0,34.0,13.879731724872835,1.32
014334b8,5.7,10.0231763806416,1.0339912586467506,32.0,45.0,11.182493960703471,1.26
0148ba5c,5.5,13.879731724872835,1.3396468519259908,45.0,30.0,10.0231763806416,1.23
0149ceae,5.3,12.463738035001692,1.4843225333848165,41.0,36.0,10.0231763806416,1.28
016003f5,5.5,11.182493960703471,1.1382762204968184,46.0,37.0,8.974182454814718,1.27
017ea716,5.7,13.879731724872835,1.225540928492468,38.0,36.0,8.974182454814718,1.34
018f057b,5.7,12.463738035001692,1.1382762204968184,40.0,30.0,8.974182454814718,1.3
018f39ae,5.4,12.463738035001692,1.0750806076741224,47.0,34.0,8.974182454814718,1.32
01a0f772,5.4,10.0231763806416,0.9155408290138962,42.0,31.0,8.974182454814718,1.25
01b52446,5.7,15.444646771097048,1.4108997064172095,45.0,33.0,11.182493960703471,1.15
01ca5809,5.7,8.025013499434122,0.8039884153978569,27.0,54.0,8.025013499434122,1.35
01cd04ae,5.6,12.463738035001692,1.0544332106438876,43.0,32.0,8.974182454814718,1.27
01d5c585,5.3,15.444646771097048,1.718281828459045,43.0,30.0,11.182493960703471,1.18
01dc71d1,5.4,8.974182454814718,0.8964808793049515,28.0,51.0,6.38905609893065,1.31
01e36461,5.5,10.0231763806416,0.9155408290138962,30.0,47.0,8.025013499434122,1.3
01ec286a,5.4,11.182493960703471,1.0339912586467506,40.0,34.0,8.974182454814718,1.34
01efe8cc,5.3,13.879731724872835,1.4108997064172095,39.0,32.0,11.182493960703471,1.22
01f23713,5.6,8.974182454814718,0.9542373206359396,40.0,34.0,8.025013499434122,1.3
0226041f,5.7,12.463738035001692,1.2479079866764715,39.0,35.0,12.463738035001692,1.31
023142d9,5.6,13.879731724872835,1.203396426255937,38.0,36.0,8.974182454814718,1.26
023bfb3e,5.4,13.879731724872835,1.1170000166126748,40.0,31.0,8.025013499434122,1.18
023f1e6b,5.5,12.463738035001692,1.1382762204968184,41.0,38.0,10.0231763806416,1.29
0253a481,5.9,10.0231763806416,0.9347923344020316,37.0,42.0,8.974182454814718,1.26
025b0ecf,5.4,15.444646771097048,1.509290389936298,41.0,35.0,11.182493960703471,1.24
025c1d54,5.8,11.182493960703471,0.9738777322304476,40.0,38.0,8.974182454814718,1.26
027d5006,5.2,12.463738035001692,1.2479079866764715,38.0,34.0,8.974182454814718,1.26
028cac11,5.8,13.879731724872835,1.45960311115695,44.0,33.0,12.463738035001692,1.17
028ce34f,5.7,13.879731724872835,1.4108997064172095,40.0,35.0,12.463738035001692,1.26
0295c92f,5.8,21.19795128144164,2.0648542032930024,43.0,30.0,13.879731724872835,1.2
02c4cedc,5.5,12.463738035001692,1.1170000166126748,41.0,38.0,10.0231763806416,1.25
02c9e07b,5.7,21.19795128144164,1.7731947639642978,41.0,35.0,13.879731724872835,1.18
02d06d33,5.4,12.463738035001692,1.2933187402641826,42.0,32.0,10.0231763806416,1.22
02e3afac,5.5,12.463738035001692,1.181472265498201,38.0,38.0,8.025013499434122,1.33
