site_id,soil_ph,soil_organic_carbon_gkg,soil_nitrogen_gkg,soil_clay_pct,soil_sand_pct,soil_cec_cmolkg,soil_bulk_density_gcm3
0,5.4,15.444646771097048,1.5599814183292713,43,34,10.023176380641601,1.22
1,5.4,15.444646771097048,1.585709659315846,46,33,10.023176380641601,1.21
2,5.4,17.17414536944306,1.6116964734231178,46,30,10.023176380641601,1.18
3,5.3,13.879731724872837,1.4351296512898744,42,31,10.023176380641601,1.18
4,5.4,15.444646771097048,1.5599814183292713,43,34,10.023176380641601,1.22
5,5.3,13.879731724872837,1.4843225333848165,44,35,10.023176380641601,1.22
6,5.4,15.444646771097048,1.6116964734231178,46,30,11.182493960703473,1.2
7,5.5,17.17414536944306,1.7456010150169163,45,39,11.182493960703473,1.2
8,5.6,17.17414536944306,1.8292170143515598,43,39,12.463738035001692,1.16
9,5.6,19.085536923187668,2.095656500124711,41,37,12.463738035001692,1.16
10,5.4,19.085536923187668,2.2543742028896707,39,32,11.182493960703473,1.14
11,5.3,19.085536923187668,2.3534846525490236,39,41,13.879731724872837,1.16
12,5.4,19.085536923187668,2.2543742028896707,39,32,11.182493960703473,1.14
13,5.4,19.085536923187668,2.2543742028896707,39,32,11.182493960703473,1.14
14,5.5,12.463738035001692,0.9937155332430823,42,36,8.974182454814718,1.33
15,5.9,12.463738035001692,1.3396468519259908,35,39,11.182493960703473,1.25
16,5.9,12.463738035001692,1.4596031111569499,35,42,12.463738035001692,1.24
17,5.8,15.444646771097048,1.718281828459045,42,28,13.879731724872837,1.23
18,5.9,13.879731724872837,1.3396468519259908,40,26,12.463738035001692,1.23
19,5.4,19.085536923187668,1.8292170143515598,43,38,11.182493960703473,1.16
20,5.5,19.085536923187668,2.0648542032930024,39,34,13.879731724872837,1.18
21,5.5,21.197951281441636,2.1267683651861553,41,32,12.463738035001692,1.19
22,5.5,19.085536923187668,1.718281828459045,38,40,11.182493960703473,1.16
23,5.5,19.085536923187668,2.0648542032930024,40,33,12.463738035001692,1.17
24,5.4,21.197951281441636,2.1267683651861553,40,35,12.463738035001692,1.19
25,5.5,19.085536923187668,1.8292170143515598,40,34,11.182493960703473,1.19
26,5.5,19.085536923187668,1.8292170143515598,40,34,11.182493960703473,1.19
27,5.5,19.085536923187668,1.801065834699079,40,38,12.463738035001692,1.21
28,5.4,17.17414536944306,1.801065834699079,41,39,11.182493960703473,1.18
29,5.4,17.17414536944306,1.8576511180631639,42,41,11.182493960703473,1.2
30,5.6,13.879731724872837,1.4108997064172097,38,43,12.463738035001692,1.25
31,5.6,15.444646771097048,1.6644562419294169,38,42,11.182493960703473,1.23
32,5.6,13.879731724872837,1.534509177617855,39,39,12.463738035001692,1.23
33,5.5,17.17414536944306,1.801065834699079,44,35,11.182493960703473,1.19
34,5.4,17.17414536944306,2.0648542032930024,45,31,13.879731724872837,1.19
35,5.6,15.444646771097048,1.7731947639642978,46,34,13.879731724872837,1.17
36,5.4,17.17414536944306,1.8292170143515598,43,36,12.463738035001692,1.17
37,5.5,17.17414536944306,1.6644562419294169,42,38,11.182493960703473,1.16
38,5.5,13.879731724872837,1.585709659315846,35,45,11.182493960703473,1.24
39,5.5,12.463738035001692,1.181472265498201,38,36,10.023176380641601,1.34
40,5.6,11.182493960703473,1.0750806076741224,36,44,8.025013499434122,1.34
41,5.6,11.182493960703473,1.0959355144943643,40,37,8.974182454814718,1.34
42,5.5,11.182493960703473,1.3163669767810915,39,37,8.974182454814718,1.28
43,5.5,11.182493960703473,1.1170000166126748,42,39,8.974182454814718,1.33
44,5.5,10.023176380641601,0.9542373206359396,36,43,8.974182454814718,1.35
45,5.5,10.023176380641601,0.9937155332430823,33,45,8.974182454814718,1.35
46,5.6,12.463738035001692,1.2479079866764717,40,37,8.974182454814718,1.29
47,5.8,12.463738035001692,1.1382762204968184,43,39,11.182493960703473,1.29
48,5.6,10.023176380641601,1.1382762204968184,39,48,8.974182454814718,1.33
49,5.5,12.463738035001692,1.203396426255937,40,38,10.023176380641601,1.31
50,5.4,11.182493960703473,1.1597662537849152,42,35,8.974182454814718,1.36
51,5.5,11.182493960703473,0.9738777322304477,37,46,8.974182454814718,1.36
52,5.6,12.463738035001692,1.181472265498201,40,39,10.023176380641601,1.31
53,5.5,10.023176380641601,0.9937155332430823,33,45,8.974182454814718,1.35
54,5.5,10.023176380641601,1.0137527074704766,40,40,8.974182454814718,1.36
55,5.7,11.182493960703473,1.0959355144943643,42,38,8.025013499434122,1.32
56,5.5,8.974182454814718,1.0959355144943643,37,40,8.025013499434122,1.33
57,5.6,10.023176380641601,1.0544332106438876,38,38,8.974182454814718,1.33
58,5.5,11.182493960703473,1.0750806076741224,40,41,8.974182454814718,1.31
59,6.0,12.463738035001692,1.1382762204968184,41,36,11.182493960703473,1.3
60,5.9,12.463738035001692,1.0544332106438876,36,40,10.023176380641601,1.3
61,6.1,11.182493960703473,1.0339912586467506,37,42,10.023176380641601,1.3
62,6.1,12.463738035001692,1.0959355144943643,38,38,11.182493960703473,1.34
63,6.1,11.182493960703473,0.9542373206359396,35,46,10.023176380641601,1.33
64,6.0,11.182493960703473,1.0339912586467506,35,43,10.023176380641601,1.29
65,6.2,11.182493960703473,1.0137527074704766,39,41,11.182493960703473,1.33
66,5.9,12.463738035001692,1.1382762204968184,38,41,10.023176380641601,1.31
67,6.0,11.182493960703473,0.9738777322304477,35,40,8.974182454814718,1.3
68,6.1,12.463738035001692,1.1382762204968184,32,44,8.974182454814718,1.34
69,6.2,11.182493960703473,0.9937155332430823,35,43,10.023176380641601,1.32
70,6.2,12.463738035001692,1.1170000166126748,40,38,12.463738035001692,1.29
71,5.9,12.463738035001692,1.1170000166126748,40,36,10.023176380641601,1.32
72,6.2,11.182493960703473,1.0750806076741224,36,42,13.879731724872837,1.34
73,5.8,12.463738035001692,1.0544332106438876,40,42,12.463738035001692,1.34
74,5.6,11.182493960703473,1.1382762204968184,38,37,11.182493960703473,1.33
75,5.6,10.023176380641601,1.0339912586467506,40,40,8.974182454814718,1.33
76,5.8,11.182493960703473,1.0339912586467506,46,34,13.879731724872837,1.32
77,5.9,11.182493960703473,1.0959355144943643,40,45,11.182493960703473,1.32
78,5.8,11.182493960703473,0.9738777322304477,39,40,11.182493960703473,1.31
79,5.7,10.023176380641601,0.9738777322304477,40,43,8.974182454814718,1.34
80,5.8,11.182493960703473,1.0750806076741224,37,41,8.974182454814718,1.34
81,5.8,12.463738035001692,1.1597662537849152,45,37,15.444646771097048,1.3
82,5.8,12.463738035001692,1.203396426255937,45,35,11.182493960703473,1.29
83,6.2,12.463738035001692,1.181472265498201,36,38,15.444646771097048,1.3
84,5.8,12.463738035001692,1.203396426255937,45,35,11.182493960703473,1.29
85,5.7,12.463738035001692,1.1382762204968184,41,33,12.463738035001692,1.33
86,5.7,8.974182454814718,1.0137527074704766,37,46,10.023176380641601,1.34
87,5.7,8.974182454814718,0.9347923344020317,36,45,8.974182454814718,1.36
88,5.7,10.023176380641601,0.9937155332430823,41,37,10.023176380641601,1.32
89,5.7,11.182493960703473,1.0750806076741224,39,41,10.023176380641601,1.34
90,5.6,11.182493960703473,1.0750806076741224,40,35,11.182493960703473,1.3
91,5.7,10.023176380641601,1.0544332106438876,37,43,10.023176380641601,1.34
92,5.6,10.023176380641601,1.0137527074704766,38,40,8.025013499434122,1.37
93,5.7,10.023176380641601,1.0137527074704766,38,40,8.974182454814718,1.3
94,5.6,8.974182454814718,0.8964808793049515,31,49,8.974182454814718,1.35
95,5.5,8.974182454814718,0.8964808793049515,31,48,10.023176380641601,1.35
96,5.7,11.182493960703473,1.0959355144943643,39,45,12.463738035001692,1.31
97,5.7,11.182493960703473,1.1597662537849152,40,42,12.463738035001692,1.32
98,5.6,8.025013499434122,0.9347923344020317,33,49,11.182493960703473,1.33
99,5.7,8.974182454814718,0.8964808793049515,33,48,11.182493960703473,1.34
100,5.5,8.025013499434122,0.8589280418463421,35,53,10.023176380641601,1.38
101,5.9,10.023176380641601,1.0137527074704766,38,50,10.023176380641601,1.38
102,5.7,8.974182454814718,0.9155408290138962,34,51,11.182493960703473,1.36
103,5.6,8.025013499434122,0.8221188003905089,30,50,8.974182454814718,1.35
104,5.9,10.023176380641601,1.0137527074704766,35,47,10.023176380641601,1.37
105,5.7,8.974182454814718,1.0137527074704766,34,45,11.182493960703473,1.36
106,5.8,10.023176380641601,1.0339912586467506,36,43,12.463738035001692,1.35
107,5.5,12.463738035001692,1.1597662537849152,39,39,10.023176380641601,1.32
108,6.3,11.182493960703473,1.0544332106438876,34,50,11.182493960703473,1.36
109,6.3,11.182493960703473,1.1382762204968184,34,48,11.182493960703473,1.35
110,6.3,11.182493960703473,1.1382762204968184,34,48,11.182493960703473,1.35
111,6.2,10.023176380641601,0.9738777322304477,32,49,11.182493960703473,1.38
112,6.2,10.023176380641601,0.9738777322304477,32,50,10.023176380641601,1.39
113,6.4,11.182493960703473,1.0544332106438876,33,50,12.463738035001692,1.31
114,6.3,11.182493960703473,1.0959355144943643,38,38,11.182493960703473,1.32
115,6.3,12.463738035001692,1.0544332106438876,35,44,10.023176380641601,1.32
116,6.2,10.023176380641601,0.9542373206359396,32,50,12.463738035001692,1.36
117,6.4,11.182493960703473,0.9155408290138962,31,48,12.463738035001692,1.36
118,6.3,10.023176380641601,0.9347923344020317,30,48,12.463738035001692,1.36
119,5.6,13.879731724872837,1.3631606937057947,40,38,11.182493960703473,1.26
120,5.6,11.182493960703473,1.1597662537849152,35,33,10.023176380641601,1.33
121,5.6,12.463738035001692,1.3869108535242765,39,35,10.023176380641601,1.29
122,5.5,12.463738035001692,1.3869108535242765,39,35,11.182493960703473,1.27
123,5.7,11.182493960703473,1.0959355144943643,37,37,10.023176380641601,1.33
124,5.5,12.463738035001692,1.3869108535242765,39,35,11.182493960703473,1.27
125,5.7,12.463738035001692,1.1382762204968184,41,37,11.182493960703473,1.33
126,5.6,12.463738035001692,1.3163669767810915,37,36,11.182493960703473,1.27
127,5.5,11.182493960703473,1.3631606937057947,39,38,10.023176380641601,1.29
128,5.6,12.463738035001692,1.181472265498201,41,35,11.182493960703473,1.32
129,5.7,12.463738035001692,1.1170000166126748,38,34,11.182493960703473,1.31
130,5.6,13.879731724872837,1.181472265498201,41,40,12.463738035001692,1.3
131,5.8,15.444646771097048,1.3163669767810915,46,35,12.463738035001692,1.29
132,5.7,12.463738035001692,1.1597662537849152,40,34,11.182493960703473,1.32
133,5.7,12.463738035001692,1.1597662537849152,40,34,11.182493960703473,1.32
134,5.7,12.463738035001692,1.1170000166126748,38,34,11.182493960703473,1.31
135,5.7,12.463738035001692,1.181472265498201,36,40,11.182493960703473,1.32
136,5.7,13.879731724872837,1.181472265498201,42,36,12.463738035001692,1.31
137,5.7,13.879731724872837,1.1597662537849152,41,38,12.463738035001692,1.3
138,5.8,12.463738035001692,1.1597662537849152,38,38,12.463738035001692,1.32
139,5.7,12.463738035001692,1.2255409284924679,39,39,11.182493960703473,1.3
