field_latitude,field_longitude,site_id
0.135176926851273,34.8034629821777,0
0.127123504877091,34.8039474487305,1
0.137744799256325,34.8249320983887,2
0.125211760401726,34.8153038024902,3
0.135209113359451,34.8034744262695,4
0.127344623208046,34.8037147521973,5
0.133632391691208,34.7875137329102,6
0.206929206848145,34.9627647399902,7
0.195302650332451,34.9613723754883,8
0.169417545199394,34.9570083618164,9
0.0020192400552332,34.9560012817383,10
0.0318796709179878,34.9042739868164,11
0.0020085999276489,34.9561042785645,12
0.0020808100234717,34.9561195373535,13
0.380215048789978,34.459400177002,14
-0.0120155001059175,34.7646789550781,15
-0.0120030902326107,34.7646675109863,16
-0.0231782700866461,34.7573432922363,17
-0.0237323902547359,34.7522277832031,18
0.138128027319908,34.9008674621582,19
0.141362443566322,34.9132919311523,20
0.121504038572311,34.9039726257324,21
0.135298922657967,34.9180793762207,22
0.141348883509636,34.9136734008789,23
0.135802462697029,34.9191474914551,24
0.13507267832756,34.8986282348633,25
0.13489855825901,34.8986511230469,26
0.130491822957993,34.9034614562988,27
0.149495512247086,34.9008598327637,28
0.0371576100587845,34.8227958679199,29
0.0181067995727062,34.7970771789551,30
0.022185180336237,34.8073234558105,31
0.018293920904398,34.7972984313965,32
0.154286697506905,34.8590126037598,33
0.173469752073288,34.918773651123,34
-0.588563978672028,34.760368347168,35
0.134821653366089,34.8940734863281,36
0.137827545404434,34.8928489685059,37
0.0227269399911165,34.8113861083984,38
0.111726619303226,34.3832092285156,39
0.102983042597771,34.3754501342773,40
0.105842001736164,34.4060859680176,41
0.112005107104778,34.3831214904785,42
0.113639920949936,34.3851852416992,43
0.0994826033711433,34.3719902038574,44
0.098624162375927,34.3709526062012,45
0.118669003248215,34.4089851379395,46
0.0905321091413498,34.3378028869629,47
0.09885273873806,34.3754005432129,48
0.118488401174545,34.4091491699219,49
0.1169693171978,34.4095420837402,50
0.105708412826061,34.373893737793,51
0.105284713208675,34.3655738830566,52
0.0987026989459991,34.3709526062012,53
0.106159396469593,34.3744087219238,54
0.106468498706818,34.4062385559082,55
0.114341050386429,34.4129524230957,56
0.114299573004246,34.4128456115723,57
0.115321300923824,34.4135360717773,58
0.126020103693008,34.1900291442871,59
0.109906032681465,34.2019538879395,60
0.099964551627636,34.1811408996582,61
0.125977739691734,34.1901168823242,62
0.0921039134263992,34.1930885314941,63
0.106080107390881,34.1836242675781,64
0.0938779935240746,34.185432434082,65
0.12021367251873,34.1886367797852,66
0.110063523054123,34.2026138305664,67
0.110057413578034,34.2015533447266,68
0.0928792804479599,34.1856994628906,69
0.0970732867717743,34.186580657959,70
0.119159266352654,34.2016448974609,71
0.0442792102694511,34.2167053222656,72
0.0918088927865028,34.338134765625,73
0.098250649869442,34.3509750366211,74
0.120111383497715,34.3278694152832,75
0.0965768918395042,34.3310012817383,76
0.0921902507543564,34.3380584716797,77
0.10860601067543,34.3263778686523,78
